id,date,city,state,type,ideology,subideology,group,description,image
6987,12/2018,San Francisco,CA,Harassment,,,,"Manny's, a space for civic engagement, was targeted with anti-Semitic vandalism, protests and individuals demanding whether the owner ""is a Zionist.""",
6988,12/2018,Birmingham,AL,Harassment,,,,"Editor of a Jewish magazine received an anti-Semitic and anti-Israel direct message on Facebook in which they showed support of BDS of Israel and ""all known jewish [sic] owned businesses nationwide."" They also wrote ""ISRAHELL = NO RIGHT TO EXIST""",
6989,12/2018,Berkeley,CA,Harassment,,,,"An individual brought a fake bomb to the UC Berkeley police headquarters. The fake bomb was covered in anti-Semitic statements that included ""All Jews fuck off and evaporate.""",
6990,12/2018,Accord,NY,Harassment,,,,Jewish high school student victim of anti-Semitic harassment.,
6991,12/2018,Ardmore,PA,Harassment,,,,"A couple at a restaurant verbally accosted Jewish children, calling them ""Jew bastards.""",
6992,12/2018,Birmingham,AL,Harassment,,,,"Jewish man was called a ""Jewish Rat"" and accused of stealing land for Israel by a group of men on the street.",
6993,12/2018,Madison,WI,Harassment,,,,"A professor affiliated with the University of Wisconsin, Madison's Jewish Studies department received an anti-Semitic email in which the writer alleged the United States is ""ruled by Zionist Jewish Supremacists,"" among other things.",
6994,12/2018,Middleton,WI,Harassment,,,,"Jewish high school student called a ""stupid Jew"" by another student.",
6995,12/2018,Madison,WI,Harassment,,,,Anti-Semitic flyers were posted on the exterior of a middle school.,
6996,12/2018,Deer Park,IL,Harassment,,,,An anti-Semitic book was prominently displayed in the Judaica section of a Barnes and Noble bookstore.,
6997,12/2018,Los Angeles,CA,Harassment,,,,Individual made anti-Semitic and harassing remark to another individual.,
6998,12/2018,Los Angeles,CA,Harassment,,,,"Someone walked into a synagogue and yelled ""Kill Jews"" before fleeing the location.",
6999,12/2018,Charlotte,NC,Harassment,,,,High school student made anti-Semitic comment to another student.,
7000,12/2018,Charlotte,NC,Harassment,,,,Middle school student made an anti-Semitic comment to another student.,
7001,12/2018,Tracy,CA,Harassment,,,,"Gregory Adams was arrested after he approached a man in a store, asked if he was Jewish and proceeded to shout anti-Semitic slurs at him. Adams followed the victim and allegedly slashed his tires.",
7002,12/2018,Lakewood,OH,Harassment,,,,"A student at Lakewood High School sent an anti-Semitic Snapchat that featured an image from ""Schindler's List"" of a Nazi about to execute a man with the caption ""What's your favorite Hannukah tradition?""",
7003,12/2018,Los Angeles,CA,Harassment,,,,A metal swastika was placed near a synagogue.,
